Admissions/Covers,Members,date
1001,181,2023-07-01
1284,189,2023-07-02
1505,161,2023-07-03
861,100,2023-07-04
1173,171,2023-07-05
1101,146,2023-07-06
930,158,2023-07-07
1107,154,2023-07-08
836,72,2023-07-09
773,88,2023-07-10
790,110,2023-07-11
755,125,2023-07-12
921,145,2023-07-13
862,146,2023-07-14
1017,74,2023-07-15
820,146,2023-07-16
786,141,2023-07-17
793,100,2023-07-18
893,118,2023-07-19
839,77,2023-07-20
873,129,2023-07-21
1048,133,2023-07-22
878,138,2023-07-23
707,65,2023-07-24
876,144,2023-07-25
791,126,2023-07-26
792,111,2023-07-27
1033,143,2023-07-28
911,138,2023-07-29
737,83,2023-07-30
543,69,2023-07-31
