Admissions/Covers,Members,date
258,50,2022-01-01
263,54,2022-01-02
149,20,2022-01-03
116,13,2022-01-04
69,43,2022-01-05
0,0,2022-01-06
0,1,2022-01-07
0,3,2022-01-08
0,1,2022-01-09
0,0,2022-01-10
0,0,2022-01-11
81,53,2022-01-12
75,53,2022-01-13
141,60,2022-01-14
407,101,2022-01-15
328,42,2022-01-16
195,74,2022-01-17
0,1,2022-01-18
79,59,2022-01-19
105,55,2022-01-20
128,49,2022-01-21
357,128,2022-01-22
234,44,2022-01-23
79,29,2022-01-24
0,0,2022-01-25
77,48,2022-01-26
83,28,2022-01-27
148,70,2022-01-28
323,78,2022-01-29
222,77,2022-01-30
54,53,2022-01-31
0,1,2022-02-01
54,43,2022-02-02
94,40,2022-02-03
179,51,2022-02-04
389,117,2022-02-05
209,76,2022-02-06
105,64,2022-02-07
0,0,2022-02-08
78,47,2022-02-09
77,57,2022-02-10
145,92,2022-02-11
402,116,2022-02-12
187,49,2022-02-13
108,62,2022-02-14
0,0,2022-02-15
136,45,2022-02-16
92,55,2022-02-17
192,73,2022-02-18
705,123,2022-02-19
494,135,2022-02-20
221,41,2022-02-21
0,0,2022-02-22
78,32,2022-02-23
73,35,2022-02-24
201,69,2022-02-25
452,79,2022-02-26
280,72,2022-02-27
96,39,2022-02-28
0,0,2022-03-01
112,63,2022-03-02
115,52,2022-03-03
162,29,2022-03-04
375,73,2022-03-05
190,70,2022-03-06
106,23,2022-03-07
0,0,2022-03-08
135,47,2022-03-09
105,37,2022-03-10
207,50,2022-03-11
496,87,2022-03-12
302,50,2022-03-13
285,50,2022-03-14
0,0,2022-03-15
425,44,2022-03-16
278,28,2022-03-17
340,77,2022-03-18
512,92,2022-03-19
393,48,2022-03-20
359,27,2022-03-21
0,0,2022-03-22
369,64,2022-03-23
199,53,2022-03-24
379,63,2022-03-25
508,60,2022-03-26
400,59,2022-03-27
189,37,2022-03-28
0,0,2022-03-29
127,38,2022-03-30
163,69,2022-03-31
166,41,2022-04-01
345,75,2022-04-02
124,56,2022-04-03
156,57,2022-04-04
0,0,2022-04-05
99,50,2022-04-06
136,31,2022-04-07
186,69,2022-04-08
267,72,2022-04-09
171,34,2022-04-10
87,35,2022-04-11
0,0,2022-04-12
76,25,2022-04-13
83,34,2022-04-14
167,50,2022-04-15
383,57,2022-04-16
196,76,2022-04-17
0,0,2022-04-18
0,0,2022-04-19
0,0,2022-04-20
0,0,2022-04-21
0,0,2022-04-22
342,47,2022-04-23
196,63,2022-04-24
80,36,2022-04-25
67,24,2022-04-26
81,28,2022-04-27
139,41,2022-04-28
201,52,2022-04-29
361,87,2022-04-30
218,37,2022-05-01
83,36,2022-05-02
0,2,2022-05-03
62,41,2022-05-04
93,58,2022-05-05
149,65,2022-05-06
399,65,2022-05-07
258,68,2022-05-08
75,9,2022-05-09
0,0,2022-05-10
134,45,2022-05-11
113,41,2022-05-12
0,52,2022-05-13
384,55,2022-05-14
416,82,2022-05-15
130,39,2022-05-16
0,0,2022-05-17
156,56,2022-05-18
139,44,2022-05-19
0,49,2022-05-20
365,56,2022-05-21
339,97,2022-05-22
194,39,2022-05-23
221,28,2022-05-24
0,59,2022-05-25
267,43,2022-05-26
373,74,2022-05-27
864,70,2022-05-28
952,38,2022-05-29
564,86,2022-05-30
382,55,2022-05-31
407,57,2022-06-01
458,57,2022-06-02
478,72,2022-06-03
713,78,2022-06-04
525,78,2022-06-05
448,70,2022-06-06
398,86,2022-06-07
465,88,2022-06-08
530,110,2022-06-09
606,129,2022-06-10
921,93,2022-06-11
571,66,2022-06-12
492,83,2022-06-13
630,76,2022-06-14
620,85,2022-06-15
482,103,2022-06-16
540,122,2022-06-17
763,92,2022-06-18
405,71,2022-06-19
715,113,2022-06-20
665,128,2022-06-21
549,83,2022-06-22
358,68,2022-06-23
948,91,2022-06-24
885,129,2022-06-25
346,71,2022-06-26
775,101,2022-06-27
609,81,2022-06-28
651,119,2022-06-29
531,72,2022-06-30
759,126,2022-07-01
1090,133,2022-07-02
1071,122,2022-07-03
832,85,2022-07-04
432,143,2022-07-05
545,123,2022-07-06
995,127,2022-07-07
1012,140,2022-07-08
963,126,2022-07-09
455,90,2022-07-10
620,97,2022-07-11
559,122,2022-07-12
619,60,2022-07-13
633,109,2022-07-14
783,110,2022-07-15
984,144,2022-07-16
689,116,2022-07-17
501,111,2022-07-18
706,119,2022-07-19
869,143,2022-07-20
738,116,2022-07-21
707,152,2022-07-22
930,122,2022-07-23
599,80,2022-07-24
643,77,2022-07-25
628,96,2022-07-26
640,81,2022-07-27
515,51,2022-07-28
807,89,2022-07-29
782,128,2022-07-30
733,109,2022-07-31
522,83,2022-08-01
790,109,2022-08-02
674,105,2022-08-03
579,98,2022-08-04
669,96,2022-08-05
906,119,2022-08-06
707,125,2022-08-07
649,78,2022-08-08
587,116,2022-08-09
559,116,2022-08-10
472,64,2022-08-11
663,141,2022-08-12
838,100,2022-08-13
724,135,2022-08-14
354,91,2022-08-15
332,66,2022-08-16
393,62,2022-08-17
468,114,2022-08-18
303,75,2022-08-19
639,105,2022-08-20
481,90,2022-08-21
310,46,2022-08-22
380,82,2022-08-23
296,105,2022-08-24
324,75,2022-08-25
277,80,2022-08-26
834,154,2022-08-27
509,97,2022-08-28
345,84,2022-08-29
317,85,2022-08-30
237,67,2022-08-31
252,77,2022-09-01
410,93,2022-09-02
1201,128,2022-09-03
1356,143,2022-09-04
485,94,2022-09-05
245,70,2022-09-06
247,79,2022-09-07
266,53,2022-09-08
391,86,2022-09-09
678,100,2022-09-10
435,100,2022-09-11
277,64,2022-09-12
235,38,2022-09-13
220,40,2022-09-14
348,51,2022-09-15
321,74,2022-09-16
644,107,2022-09-17
449,126,2022-09-18
339,61,2022-09-19
175,56,2022-09-20
228,48,2022-09-21
223,55,2022-09-22
406,101,2022-09-23
717,104,2022-09-24
493,82,2022-09-25
256,57,2022-09-26
240,45,2022-09-27
244,52,2022-09-28
