date,date,Admissions/Covers,Members,Total Admissions
,2024-06-14,,,
,2024-06-15,,,
,2024-06-16,,,
,2024-06-17,,,
,2024-06-18,,,
,2024-06-19,,,
,2024-06-20,,,
,2024-06-21,,,
,2024-06-22,,,
,2024-06-23,,,
,2024-06-24,,,
,2024-06-25,,,
,2024-06-26,,,
,2024-06-27,,,
,2024-06-28,,,
,2024-06-29,,,
,2024-06-30,,,
,,430,70,
,,511,71,
,,478,91,
,,558,121,
,,497,84,
,,770,106,
,,627,138,
,,466,87,
,,600,98,
,,646,96,
,,727,94,
,,437,39,
,,871,136,
,,795,122,
,,671,88,
,,747,83,
,,750,141,
,,519,79,
,,536,52,
,,899,94,
,,710,152,
,,745,137,
,,758,120,
,,519,100,
,,398,63,
,,896,109,
,,662,106,
,,822,124,
,,,,
