Admissions/Covers,Members,date
811,102,2024-07-01
1169,147,2024-07-02
1056,147,2024-07-03
1116,87,2024-07-04
1739,145,2024-07-05
1481,195,2024-07-06
863,203,2024-07-07
786,146,2024-07-08
794,116,2024-07-09
918,82,2024-07-10
829,126,2024-07-11
1013,177,2024-07-12
1071,128,2024-07-13
684,99,2024-07-14
680,69,2024-07-15
716,120,2024-07-16
851,131,2024-07-17
849,70,2024-07-18
824,104,2024-07-19
823,97,2024-07-20
889,129,2024-07-21
803,46,2024-07-22
871,128,2024-07-23
1086,95,2024-07-24
944,91,2024-07-25
835,98,2024-07-26
1153,116,2024-07-27
1004,124,2024-07-28
651,99,2024-07-29
936,98,2024-07-30
802,92,2024-07-31
